scenario_id,ID,v_pen,S,depth,qb_fast,qs_fast,qb_ref,qs_ref,res_qb,res_qs,res_qb_norm,res_qs_norm,is_shallow
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,0.2,4.405518,35.969138,5.813513,7.318059,1.407995,-28.651079,0.10778072085529292,-0.9819778669778386,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,0.3,4.644985,34.792049,6.04625,7.679968,1.401266,-27.112081,0.1072656221009399,-0.9292307444934408,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,0.4,4.931309,34.066737,6.426391,8.174778,1.495082,-25.891959,0.11444715052096992,-0.8874126754771663,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,0.5,5.033593,32.884535,6.656426,8.292187,1.622832,-24.592347,0.12422629539667165,-0.8428701917662106,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,0.6,5.168752,31.810248,6.882445,8.376474,1.713693,-23.433774,0.1311816212874829,-0.8031616333807441,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,0.7,5.496646,31.409812,7.091329,8.508073,1.594683,-22.90174,0.12207151536452976,-0.7849268711758132,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,0.8,5.940578,31.164029,7.294689,8.651593,1.35411,-22.512436,0.10365587371926795,-0.7715839910865174,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,0.9,6.109955,30.293664,7.441959,8.369598,1.332004,-21.924066,0.10196367977310543,-0.7514183869361902,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,1.0,6.279627,29.651024,7.655249,8.365152,1.375622,-21.285871,0.10530259751234894,-0.7295450967604199,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,1.1,6.693309,29.395717,7.878934,8.376421,1.185625,-21.019296,0.09075850209983462,-0.7204085909454166,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,1.2,7.082855,29.329221,8.12567,8.527477,1.042814,-20.801744,0.07982645154137011,-0.7129522836657933,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,1.3,7.371382,29.009823,8.329428,8.645598,0.958047,-20.364225,0.07333761573958061,-0.6979568981732512,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,1.4,7.577331,28.580324,8.530114,8.795238,0.952783,-19.785086,0.07293466138634623,-0.6781076743480795,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,1.5,7.924036,28.353463,8.801937,8.943441,0.877901,-19.410022,0.06720251323306013,-0.6652528514389606,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,1.6,8.196516,28.195694,8.984491,8.964361,0.787975,-19.231333,0.06031876073135873,-0.6591285221223437,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,1.7,8.500304,17.818614,9.493726,8.544261,0.993422,-9.274353,0.07604553941846867,-0.31786619193432536,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,1.8,8.750979,16.505291,9.931752,8.791752,1.180773,-7.713539,0.09038708596725613,-0.26437135488231944,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,1.9,9.419683,17.286,10.419546,9.404106,0.999863,-7.881894,0.07653859203799426,-0.2701415000065242,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,2.0,10.075303,18.221227,10.871226,9.882024,0.795923,-8.339203,0.06092717281333194,-0.2858151615942699,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,2.1,10.601893,17.930385,11.402783,10.4618,0.800889,-7.468585,0.061307315540946296,-0.2559758802676395,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,2.2,10.979159,16.709855,11.83607,10.465831,0.856912,-6.244024,0.06559582460843309,-0.2140056703930219,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,2.3,11.685698,17.48769,12.268906,11.043633,0.583209,-6.444057,0.044644111967226105,-0.22086153710104986,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,2.4,12.363045,18.221572,12.664059,11.331811,0.301014,-6.889761,0.02304234454492746,-0.23613745265115849,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,2.5,12.793039,18.128516,13.030075,11.719453,0.237035,-6.409063,0.01814481100283336,-0.21966216399970792,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,2.6,13.228339,17.804221,13.412791,12.192609,0.184451,-5.611612,0.014119554218928073,-0.1923305848993416,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,2.7,13.927597,18.528756,13.80971,12.308783,-0.117887,-6.219974,-0.009024141306942082,-0.2131813884279058,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,2.8,14.584753,19.262648,14.212496,12.45094,-0.372257,-6.811709,-0.028495930598779664,-0.23346232350599244,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,2.9,15.032309,19.38196,14.738524,12.933261,-0.293785,-6.448699,-0.022488971250943526,-0.2210206355161047,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,3.0,15.499317,19.510194,15.171315,13.098029,-0.328002,-6.412164,-0.025108251096046356,-0.21976844667637424,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,3.1,16.166589,20.183607,15.943228,13.623938,-0.223361,-6.559669,-0.01709807889300678,-0.22482398560628913,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,3.2,16.724942,20.603101,16.324775,13.768656,-0.400168,-6.834446,-0.03063249195005725,-0.2342416041313914,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,3.3,17.235831,20.778437,16.69483,13.888433,-0.541001,-6.890004,-0.041413128429741805,-0.2361457811550056,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,3.4,17.69378,20.791611,17.068909,13.914163,-0.624871,-6.877448,-0.04783329970743343,-0.23571544084922605,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,3.5,18.242192,21.111227,17.494473,14.02111,-0.747719,-7.090117,-0.05723720099659357,-0.24300438975730418,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,3.6,18.888523,21.570087,17.844427,14.202228,-1.044096,-7.367859,-0.07992458746098381,-0.2525236297388127,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,3.7,19.192908,21.413008,18.153434,14.363688,-1.039473,-7.04932,-0.07957070106755627,-0.2416061265003045,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,3.8,19.366261,21.357813,18.581229,14.638928,-0.785032,-6.718885,-0.06009347679109109,-0.2302809035837497,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,3.9,19.885207,21.630583,18.974965,15.213151,-0.910243,-6.417432,-0.069678263554547,-0.21994900041409698,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,4.0,20.404806,21.915639,19.430668,15.666824,-0.974139,-6.248814,-0.07456944352306236,-0.2141698413124775,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,4.1,20.760616,21.98442,19.726547,15.756063,-1.034069,-6.228357,-0.0791570298432252,-0.21346870467379223,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,4.2,21.175158,21.840173,20.108697,15.84962,-1.06646,-5.990553,-0.0816365310695959,-0.20531828685955222,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,4.3,21.610227,21.87742,20.496009,15.959073,-1.114218,-5.918347,-0.08529236199698348,-0.2028435216382144,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,4.4,21.99728,21.87805,20.5836,15.874666,-1.413681,-6.003384,-0.10821597891997581,-0.20575805242688713,0
